0,715277777777778;Prenom;Titre;Type;Abstract;Jour;Heure_debut;Heure_fin;Num_Session;Titre_Session;Title_Session;Researchgate;Linkedin
Semblat;Amelie;Drought stress impacts the microbiota mediating iron dynamic in the pea rhizosphere;Poster;Microbiota, with their consortia of genomes, extend the genetic pool of host plants to form ?extended genotypes?, resulting in extended host phenotypes. Recently, the term ?holobiont?, which encompasses the host plant plus its associated microbiota, has been proposed. The way environmental properties impact both the plant and microbial components of the holobiont and its phenotype still remain to be explored.That?s why our study aims to test the impact of different abiotic conditions (drought stress and soil pH) on plant and microbial phenotypes in relation with iron. Iron bioavailability is essential to plant and microbial physiology, and depends on soil aeration and pH.Two pea cultivars, showing different tolerance to iron chlorosis, were cultivated in two soils with different pH and textures. Aeration of these soils was modified by submitting them to three different matric potentials (saturated water SW, field capacity FC and wilting point WP). Pea phenotypes were characterized by measuring their biomass and ionomic content. Microbial phenotypes were characterized by assessing their ability to synthesize siderophores and their susceptibility to iron stress.Plant biomass and iron content were lower in both soils when they were submitted to drought stress (WP), likely to increase soil aeration and thus iron oxidation leading to low bioavailability. Accordingly, the occurrence of bacterial isolates producing siderophores was higher in these iron stress conditions. This bioavailability is known to be even more decreased in soils with higher pH, and isolates were indeed further less susceptible to iron deficiency.In conclusion, microbial populations producing siderophores were more represented in drought conditions, corresponding to higher aeration, whatever the soil was. This suggests that drought stress has a similar impact on both the plant and microbial phenotypes independently from soil type.;1;14h20;15h30;Session 1;Agro�cologie;Agroecology;;
Zhu;Liya;Different Medicago truncatula genotypes, expressing different phenotypes, modulate microbial functional genes in the rhizosphere;Poster;Plants host in their rhizosphere a remarkable diversity of microorganisms that in return promote plant growth and health. Thus, the plant microbiota emerges as a novel component that expand the capacity of plants to adapt to the environment, and thus pave the way for future breeding approaches.It is widely known that different plant species harbor different microbiota, but very few studies showed an impact of the plant genotypes on the microbiota. These contrasting results may depend on the choice of the tested genotypes.We formulate the hypothesis that only those plant genotypes showing high genetic diversity and expressing different phenotypes harbor different rhizosphere microbiota and are able to modulate the microbial functioning. In this study, we aimed to assess a possible relation between the genetic/phenotypic diversity within Medicago truncatula and their associated microbiota.Seven M. truncatula genotypes were chosen on the basis of their geographical origin, genetic and phenotypic (notably their different nutritional strategies) diversity. Plant biomass and the carbon and nitrogen content in shoot and root were measured in order to describe their phenotypes. Microbial taxonomic diversity and functional genes were analysed through 16S rRNA amplicon and shotgun metagenomics, respectively.Results show that the seven plant genotypes clustered in three different phenotypes. The taxonomic diversity and functional genes of bacterial communities differed according to the plant cluster from which they are issued. These differences were explained by the following proteins: (i) Transposase from family Tn3 (bacterial plasmids remobilization), (ii) Membrane receptor TonB dependent (iron) and (iii) metallopeptidases from families TldD/PmbA and M14. Interestingly, TonB dependent transporter proteins seem to be involved in plant-microbe interactions (as this outer membrane protein binds and transports ferric chelates called siderophore, as well as various plant carbohydrates). These results support our initial hypothesis and show that contrasting genotypes modulate microbial gene abundance.;1;14h20;15h30;Session 1;Agro�cologie;Agroecology;;
Papin;Marine;Recurrent inoculation: a strategy for a better survival of Pseudomonas fluorescens strain in soil;Poster;A growing interest is shown for microbial inoculants as a promising alternative to agrochemicals for sustainable agriculture. However, biotic and abiotic stresses are known to affect their establishment and effectiveness, leading to inconsistent performance in field conditions. At the same time, a poor survival of the strain is often observed, which constitutes a main hamper for bacterial inoculant development. We hypothesize that recurrent inoculations would improve the survival of the strain in soil. For this purpose, we tested different scenarios of inoculation of the plant growth-promoting rhizobacteria Pseudomonas fluorescens in soil microcosms: a single inoculation, two inoculations with a short or long-time interval in between, and four inoculations. We also tested two inoculation densities of the strain. We assessed the survival of P. fluorescens using qPCR targeting a specific gene, and the impact of inoculations on resident microbial community diversity and composition using 16S sequencing. We expect a stronger impact on microbial communities as well as a longer lasting detection of the strain in soils with recurrent inoculations, compared to single inoculation. Generalization of our results to planted soils will be required to better understand the outcomes of a strain inoculation and identify situation-dependent patterns. A great concern should also be payed to the disturbances induced within the resident microbial communities even when the inoculant does not establish, because legacy effects may induce lasting changes in diversity, composition and functioning.;1;14h20;15h30;Session 1;Agro�cologie;Agroecology;;
Petitfourt;Julie;Impact of agricultural chemical inputs on the intestinal microbiota : the example of the yeast Candida albicans;Poster;"The gut microbiota (GM) is a complex and unique ecosystem that plays an important role in host health maintenance and disease pathogenesis. The development of a stable and diverse GM is essential to various host physiologic functions such as immunoregulation, pathogen prevention, energy harvest, and metabolism. Thus, the composition imbalance of the GM, or dysbiosis, leads to the host intestinal homeostasis dysregulation, contributing consequently to the onset or the progression of many diseases. Thereby, a better understanding of factors that influence the composition of GM appears to be essential.
In the past few years, the most studied aspect of the Human exposome influencing the GM composition was the effect of dietary habits. Nowadays, new topic of investigations aim to decipher how the GM manages exposition to other xenobiotics. Among those xenobiotics, the impact of agricultural chemical inputs, including pesticides, remain poorly explored. Recently, the description of the disrupting effect of family members of new generation of pesticides on this fragile balance between the gut barrier and GM was highlighted. Again, only few families of chemicals have been explored to date, including neonicotinoid and pyrethroid, and phenylpyrazole members, largely used in agricultural practices, remain less investigated. In this context, the purpose of this study was to evaluate the impact of a member of the phenylpyrazole family, Fipronil, on the major component of the fungal GM, Candida albicans. To assess the impact of Fipronil exposure on C. albicans (SC5314 strain) (i) yeast fitness and (ii) Yeast-to-Enterocyte virulence were evaluated in-vitro. Data support an impact of the Fipronil exposure on C. albicans virulence by modifying their properties of filamentation, invasion and adhesion at the gut barrier. Overall, this study suggests that is essential for the future to study whether or not pesticides trigger dysbiosis of the human GM considered as a whole.";1;14h20;15h30;Session 1;Agroecologie;Agroecology;;
Meyer;Cara;Soil microbial community fragmentation reveals indirect effects of pesticide application mediated through biotic interactions between taxa;Poster;In soil ecosystems, microorganisms exist in complex and diverse communities where microbial taxa are linked through different types of interactions. Therefore, pesticide application will not only directly affect certain microbial taxa, but will also have indirect effects throughout the community mediated through these interactions. These indirect effects may also influence ecosystem functions. In this study, a naturally occurring soil microbial community was fragmented by filtering a soil suspension and inoculating sterile soil microcosms. The effect of the fungicide Hymexazol on community structure and function was tested on the separate fractions and on the unfragmented community after a 40-day incubation period. We hypothesized that some taxa within the fragmented community would respond differently to pesticide application than in the unfragmented community, thereby unravelling indirect pesticide effects due to biotic interactions. Microbial communities were analyzed via high-throughput sequencing of 16S and 18S rRNA genes along with differential abundance and network analyses. We found that pesticide effects on microbial diversity vary between the different fractions and that fragmentation reveals pesticide effects that were not apparent in the unfragmented community. This work sheds light on ecological interactions between microbial taxa in soil and provides a novel approach for the development of procedures to assess pesticide toxicity at the ecosystem level.;1;14h20;15h30;Session 1;Agro�cologie;Agroecology;;
Maslard;Corentin;Ecophysiological processes underlying soybean mineral nutrition under individual or combined heat and water stresses;Poster;In a context of climate change with more frequent drought events and heatwaves, it is predicted that soybean yields will drastically decrease in the near future. Soybean being the most widely grown legume crop in the world, there is an urgent need to improve its ability to sustain its growth under such conditions in order to guarantee high levels of productivity.The aim of this study was to explore the influence of heat and/or water stress on soybean growth and its water and mineral nutrition. Two soybean genotypes displaying contrasted abilities to resist to these stresses during their vegetative growth were grown in a greenhouse under either optimal conditions, heatwaves, water stress, or both heatwaves and water stress. The genotypes were compared for their shoot and root plasticity, their mineral uptake and use efficiencies, and their water management at the whole plant level.This study highlighted plant strategies promoting soybean growth under these two stresses and offered new perspectives for crop adaptation to climate change.;1;14h20;15h30;Session 1;Agro�cologie;Agroecology;;
Chaudron;Zoe;Identification and functional characterization of S-nitrosated proteins from Klebsormidium nitens, a model alga to study plant adaptation to land;Poster;The small gaseous molecule nitric oxide (NO) is well established as a major ubiquitous component of cell signalling. A key signalling mechanism mediating NO effects is S-nitrosation, a post-translational modification by which NO can impact the target protein activities, subcellular localizations, and capacities to form protein complexes. The identification of proteins targeted by NO is of major interest in order to elucidate NO functions. Interestingly, land plants lack NO synthase (NOS), which is the main enzyme for NO synthesis in metazoans, while a few algal species possess it, thus raising many interrogations. Therefore, we focused on the identification of S-nitrosated proteins during salt stress in Klebsormidium nitens, a freshwater algal species possessing a NOS and established as a model to study plants adaptation to land. We applied the Biotin Switch method followed by mass spectrometry analysis. This method allows the purification of S-nitrosated proteins. We found 43 proteins with significantly higher S-nitrosation levels in salt response condition. Orthology analysis were performed against the model plant Arabidopsis thaliana, therefore we established a classification of these proteins according to their localization, molecular function and biological process they are involved in. This is done with the PANTHER classification system, based on Gene Ontology terms (GO terms). Then, from this list, we selected an interesting protein called INOSITOL POLYPHOSPHATE MULTIKINASE 2a/b (IPK2a/b), potentially involved in cell signaling and stress response. We produced it in Escherichia coli and are currently measuring its activity. This protein will then be Snitrosated in vitro and we will determine if its activity is impaired. Through the identification and functional analysis of Snitrosated proteins in K. nitens, this project will provide a better understanding of the functions of NO in unicellular green algae with NOS.;1;14h20;15h30;Session 1;Agro�cologie;Agroecology;;
Hobloss;Samir;Oleanane-type glycosides from two cultivars of Weigela florida : ?Minor black? and ?Brigela?;Poster;Saponins are triterpenoid glycosides known for their vast panel of biological activities, among which their defence role against phytopathogens1. The Weigela genus has been the subject of several studies leading to the isolation of such triterpene glycosides2. Thirteen saponins were thus extracted from two Weigela cultivars: Weigela florida ?Minor black? and ?Brigela?.Four of the extracted molecules were never reported in the literature before: 3-O-?-D-xylopyranosyl-(1?4)-?-Dxylopyranosyl-(1?3)-?-L-rhamnopyranosyl-(1?2)-?-D-xylopyranosyloleanolic acid, 3-O-?-D-xylopyranosyl-(1?4)-?-Dxylopyranosyl-(1?3)-?-L-rhamnopyranosyl-(1?2)-?-L-arabinopyranosyloleanolic acid, 3-O-?-D-xylopyranosyl-(1?4)-?D-xylopyranosyl-(1?4)-?-D-xylopyranosyl-(1?3)-?-L-rhamnopyranosyl-(1?2)-?-L-arabinopyranosyloleanolic acid, and 3O-?-D-xylopyranosyl-(1?4)-?-D-xylopyranosyl-(1?4)-?-D-xylopyranosyl-(1?4)-?-D-xylopyranosyl-(1?3)-?-Lrhamnopyranosyl-(1?2)-?-L-arabinopyranosyloleanolic acid.Their full structural elucidation, reported in this article, required extensive 1D and 2D NMR experiments coupled with mass spectrometry analysis. Four molecules among the known ones were in sufficient amount to be tested for their antifungal activity against Candida albicans, and their antibacterial activity against Staphylococcus aureus and Pseudomonas aeruginosa. While none of these molecules showed any interesting effect, those results made it possible to corroborate some hypotheses that were made regarding the structure/activity relationship of saponins.;1;14h20;15h30;Session 1;Agro�cologie;Agroecology;;
Nazaryan;Samvel;The phytochemical characterization of medicinal plants used in the ethno-medicine of Armenia;Poster;Scabiosa caucasica (Armenian chrysanthemum) and Scabiosa ochroleuca are a perennial species, native of subalpine meadows in the northern Caucasus and Transcaucasus. They are wild Scabiosa growing in high mountain meadows over 2 500 metres elevations in Lori, Syunik, Tavush, Aragatsotn, Gegarkunik, Vayots Dzor and Shirak regions of Armenia. The Armenian chrysanthemum is most commonly known for its properties of curing irritation of the skin, such as scabies. They are generally used as a herbal tea to combat the feelings of influenza. The extraction of Scabiosa caucasica and Scabiosa ochroleuca was performed by maceration and Microwave-assisted extraction. Further separations, purifications and identifications were performed by different type of preparative and analytical tools. Vacuum liquid Chromatography was used for the separation in large scale according the polarity of molecules, followed by Sephadex separation by molecular weights of molecules and Medium Pressure Liquid Chromatography purification (more accurate technique than VLC) according polarity of molecules. Adaptation of solvent system with high polarity for the separation and purification was sign of polar saponin. The structures of purified saponins were elucidated by analysis of 1D and 2D-NMR (1H?1H COSY, TOCSY, HSQC-TOCSY, HSQC, ROESY or NOESY, and HMBC) spectroscopic data and mass spectrometry (HR-ESI-MS). Five molecules of saponin were identified with oleanolic acid as aglycon part. One of them had 7 glycosides attached to aglycon (5 glycosides attached to C3 and 2 glycosides attached C28) and the rest 8 glycosides attached to aglycon (6 glycosides attached to C3 and 2 glycosides attached C28).;1;14h20;15h30;Session 1;Agro�cologie;Agroecology;;
Mater;Adrien;Effect of pedalling cadence during eccentric cycling on oxygen consumption and perceived exertion;Poster;"For a given power output, changing the cycling pedalling rate alters factors such as perceived exertion, oxygen consumption or muscular activation. While this observation holds for traditional (i.e., concentric) cycling, no data are available for eccentric cycling (ECC), even though this exercise modality has been extensively studied in the last decade, especially in the rehabilitation field. Notably, the effects of ECC cycling cadence on oxygen consumption (VO2) and perception of effort (PE) remain unknown. In the current investigation, twelve participants completed four sessions one week apart: 1) determination of maximal concentric aerobic power (MAP); 2) familiarization with ECC cycling at five cadences (30, 45, 60, 75, and 90 rpm); 3) and 4), ECC cycling exercise consisting of 5 min at the five different cadences at either 40 or 60% MAP. PE was reported and VO2 was calculated over the last minutes of exercise. PE and VO2 were higher at 60 than 40% MAP (P < 0.05). Both factors showed an effect of cadence (P < 0.003) and followed a U-shaped curve. Lower values of VO2 appear at 60 and 75 rpm. At a cadence of 30 rpm, the resulting PE was greater than at all other cadences. To our knowledge, this study is the first to describe the effects of cadence on both VO2 and PE, for ECC cycling at different power outputs. Both PE and VO2 were affected by cadence. As lower ECC cadences require greater force production on the pedals, these likely involve the recruitment of additional motor units, as evidenced by an increased EMG (not presented here). In addition, a greater motor command would be related to higher VO2 and PE. Conversely, high ECC cadences may require a suboptimal muscle contraction pattern that would increase energy expenditure compared with intermediate cadences and then increase VO2.";1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
